   	      	                  fitness                  	                      size                     
   	      	-------------------------------------------	-----------------------------------------------
gen	nevals	avg  	gen	max  	min  	nevals	std	avg 	gen	max	min	nevals	std    
0  	10    	7e+06	0  	7e+06	7e+06	10    	0  	27.5	0  	76 	2  	10    	26.5452
0  	7     	7e+06	0  	7e+06	7e+06	7     	0  	24.9	0  	73 	2  	7     	22.1018
1  	9     	7e+06	1  	7e+06	7e+06	9     	0  	31.3	1  	64 	2  	9     	23.971 
2  	5     	7e+06	2  	7e+06	7e+06	5     	0  	27.1	2  	71 	3  	5     	20.6274
3  	8     	6.4e+06	3  	7e+06	4e+06	8     	1.2e+06	58.8	3  	219	15 	8     	57.1381
4  	8     	4.1e+06	4  	5e+06	4e+06	8     	300000 	36.7	4  	98 	8  	8     	27.6949
5  	7     	4.54e+06	5  	7e+06	4e+06	7     	1.02879e+06	23.4	5  	60 	4  	7     	16.2308
6  	6     	4.24e+06	6  	6.4e+06	4e+06	6     	720000     	22.4	6  	59 	3  	6     	15.7175
7  	5     	4e+06   	7  	4e+06  	4e+06	5     	0          	31  	7  	59 	9  	5     	16.2419
8  	5     	4.06e+06	8  	4.6e+06	4e+06	5     	180000     	36.2	8  	105	7  	5     	30.5706
9  	8     	4.37e+06	9  	7e+06  	3.7e+06	8     	933863     	36.5	9  	144	7  	8     	39.1567
10 	9     	5.12e+06	10 	7e+06  	3.4e+06	9     	1.37535e+06	7.2 	10 	12 	2  	9     	2.4    
