First Time: 1744179283.6393058; Last Time: 1744179296.5725448; Total Time(s): 12.933238983154297; Fitness: 104.1543561108488; Individual: Norm(Sec(yd_2));
First Time: 1744179296.5725448; Last Time: 1744179302.369945; Total Time(s): 5.797400236129761; Fitness: 1.8841123347178755e+26; Individual: Plus(Coth(Cot(Divide(Plus(Acos(Exp(Exp(OrR2R1x))), Exp(Sech(Divide(yd_2, dr_2)))), Asin(Plus(Atan2r(Coth(y_1), Times(dr_1, OrR2R1y)), Plus(Cot(ds_2), Coth(t_1))))))), Plus(Norm(Cot(Cos(Asin(Sinh(Sin(Vx_1)))))), Real(Atanr(Cosh(Sinh(Tan(Cosh(x_2))))))));
First Time: 1744179302.369945; Last Time: 1744179314.9685576; Total Time(s): 12.598612546920776; Fitness: 68.89375979026428; Individual: Acos(Sin(Atanr(Atanr(ds_2))));
First Time: 1744179314.9685576; Last Time: 1744179322.6031392; Total Time(s): 7.634581565856934; Fitness: 354.89775221471604; Individual: Cos(Divide(Tanh(Cos(Sinh(Minus(Sec(Cot(Csch(dr_2))), Csch(Norm(Divide(xd_2, x_2))))))), Csc(Norm(Coth(Atan2r(Minimum(Sqr(Tan(xd_2)), Divide(Exp(Vx_1), Plus(x_2, dr_1))), Norm(Norm(Tanh(Vy_2)))))))));
First Time: 1744179322.6031392; Last Time: 1744179334.4172125; Total Time(s): 11.814073324203491; Fitness: 62.52518957490811; Individual: Exp(Vy_2);
First Time: 1744179334.6146975; Last Time: 1744179344.8360715; Total Time(s): 10.221374034881592; Fitness: 72.91473064506657; Individual: Exp(Sinh(Tan(yd_2)));
First Time: 1744179344.8360715; Last Time: 1744179354.363843; Total Time(s): 9.527771472930908; Fitness: 62.52518957490811; Individual: Exp(Vy_2);
First Time: 1744179354.51195; Last Time: 1744179365.2012548; Total Time(s): 10.689304828643799; Fitness: 62.52518957490811; Individual: Exp(Vy_2);
First Time: 1744179365.2012548; Last Time: 1744179375.1329176; Total Time(s): 9.931662797927856; Fitness: 62.52518957490811; Individual: Exp(Vy_2);
First Time: 1744179375.1329176; Last Time: 1744179384.9134924; Total Time(s): 9.780574798583984; Fitness: 62.52518957490811; Individual: Exp(Vy_2);
First Time: 1744179384.9134924; Last Time: 1744179396.4289215; Total Time(s): 11.515429019927979; Fitness: 62.52518957490811; Individual: Exp(Vy_2);
First Time: 1744179396.5843692; Last Time: 1744179406.4784076; Total Time(s): 9.894038438796997; Fitness: 54.002416161519676; Individual: Sin(OrR1R1x);
First Time: 1744179406.4784076; Last Time: 1744179416.1472893; Total Time(s): 9.66888165473938; Fitness: 62.52518957490811; Individual: Exp(Vy_2);
First Time: 1744179416.1472893; Last Time: 1744179420.744215; Total Time(s): 4.596925735473633; Fitness: 355.5845741936399; Individual: Logn(Csch(Minimum(Maximum(Vx_2, Vx_1), Divide(y_2, xd_2))));
First Time: 1744179420.750992; Last Time: 1744179431.2456143; Total Time(s): 10.494622230529785; Fitness: 62.52518957490811; Individual: Exp(Vy_2);
First Time: 1744179431.4310942; Last Time: 1744179443.4980712; Total Time(s): 12.06697702407837; Fitness: 54.002416161519676; Individual: Sin(OrR1R1x);
First Time: 1744179443.4980712; Last Time: 1744179454.029336; Total Time(s): 10.531264781951904; Fitness: 55.3260661677799; Individual: Real(Tan(Vx_1));
First Time: 1744179454.029336; Last Time: 1744179464.5665932; Total Time(s): 10.537257194519043; Fitness: 59.35378962301769; Individual: Sin(Cosh(Tanh(dr_2)));
First Time: 1744179464.5665932; Last Time: 1744179481.1067684; Total Time(s): 16.540175199508667; Fitness: 58.925112767253864; Individual: Sin(Sin(Csch(Sinh(x_1))));
First Time: 1744179481.33434; Last Time: 1744179495.1781373; Total Time(s): 13.843797206878662; Fitness: 54.002416161519676; Individual: Sin(OrR1R1x);
First Time: 1744179495.2468448; Last Time: 1744179512.1558065; Total Time(s): 16.9089617729187; Fitness: 54.002416161519676; Individual: Sin(OrR1R1x);
First Time: 1744179512.5767636; Last Time: 1744179526.8447514; Total Time(s): 14.267987728118896; Fitness: 54.002416161519676; Individual: Sin(OrR1R1x);
First Time: 1744179526.8603756; Last Time: 1744179543.2781348; Total Time(s): 16.41775918006897; Fitness: 37.54567887442982; Individual: Times(x_2, dr_1);
First Time: 1744179543.2937596; Last Time: 1744179559.940282; Total Time(s): 16.646522521972656; Fitness: 74.4659519361517; Individual: Sin(Cot(Sech(Norm(td))));
First Time: 1744179559.9559078; Last Time: 1744179577.4238658; Total Time(s): 17.467957973480225; Fitness: 54.002416161519676; Individual: Sin(OrR1R1x);
First Time: 1744179682.5459547; Last Time: 1744179715.16639; Total Time(s): 32.62043523788452; Fitness: 111.95606480521447; Individual: Tanh(Sqrt(Coth(Plus(Abs(Maximum(Tanh(t_1), Sec(dr_2))), Minus(Cot(Asin(OrR2R1x)), Cos(Sec(yd_2)))))));
