   	      	                  fitness                  	                      size                     
   	      	-------------------------------------------	-----------------------------------------------
gen	nevals	avg	gen	max	min    	nevals	std	avg 	gen	max	min	nevals	std    
0  	50    	inf	0  	inf	295.242	50    	nan	12.4	0  	121	2  	50    	20.3057
0  	43    	inf	0  	inf	295.086	43    	nan	8.58	0  	49 	2  	43    	11.1051
1  	40    	inf	1  	inf	274.11 	40    	nan	13.14	1  	69 	2  	40    	12.5076
2  	42    	inf	2  	inf	270.056	42    	nan	16.12	2  	124	2  	42    	17.4787
3  	40    	inf	3  	inf	270.056	40    	nan	12.68	3  	63 	2  	40    	9.93265
4  	40    	inf	4  	inf	269.543	40    	nan	12.16	4  	50 	5  	40    	6.85087
5  	44    	inf	5  	inf	269.543	44    	nan	14.84	5  	85 	2  	44    	14.2301
6  	38    	inf	6  	inf	269.543	38    	nan	10.56	6  	25 	2  	38    	5.10357
7  	41    	inf	7  	inf	269.543	41    	nan	12.18	7  	81 	2  	41    	11.244 
8  	40    	inf	8  	inf	269.543	40    	nan	13.86	8  	74 	2  	40    	11.7864
9  	33    	inf	9  	inf	269.543	33    	nan	12.42	9  	92 	2  	33    	12.5572
10 	38    	inf	10 	inf	269.543	38    	nan	17.68	10 	150	3  	38    	25.1201
11 	45    	inf	11 	inf	269.543	45    	nan	16   	11 	150	3  	45    	24.6512
12 	41    	inf	12 	inf	269.543	41    	nan	11.9 	12 	80 	2  	41    	11.1126
13 	43    	inf	13 	inf	269.543	43    	nan	11.58	13 	38 	3  	43    	5.64301
14 	40    	inf	14 	inf	269.543	40    	nan	10.72	14 	24 	2  	40    	4.796  
15 	41    	inf	15 	inf	269.543	41    	nan	11.76	15 	42 	3  	41    	6.73071
16 	38    	inf	16 	inf	269.543	38    	nan	14.08	16 	52 	2  	38    	10.6411
17 	38    	inf	17 	inf	269.543	38    	nan	12.42	17 	60 	2  	38    	9.64384
17 	38    	inf	17 	inf	269.543	38    	nan	12.42	17 	60 	2  	38    	9.64384
17 	32    	inf	17 	inf	269.543	32    	nan	12.32	17 	85 	3  	32    	11.5939
18 	40    	inf	18 	inf	269.543	40    	nan	15.08	18 	110	2  	40    	17.9375
19 	43    	inf	19 	inf	269.543	43    	nan	15.6 	19 	79 	2  	43    	14.0784
20 	37    	inf	20 	inf	269.543	37    	nan	12.7 	20 	75 	2  	37    	10.8282
21 	38    	inf	21 	inf	269.543	38    	nan	15.7 	21 	155	2  	38    	23.5102
22 	44    	inf	22 	inf	269.543	44    	nan	14.58	22 	98 	3  	44    	15.7634
23 	40    	inf	23 	inf	269.543	40    	nan	11.44	23 	41 	4  	40    	6.31873
24 	44    	inf	24 	inf	269.543	44    	nan	13.96	24 	95 	2  	44    	14.3052
25 	48    	inf	25 	inf	269.543	48    	nan	12.38	25 	72 	3  	48    	10.2135
26 	45    	inf	26 	inf	269.543	45    	nan	14.48	26 	88 	2  	45    	15.6349
27 	42    	inf	27 	inf	269.543	42    	nan	12.4 	27 	71 	2  	42    	9.98599
28 	43    	inf	28 	inf	269.543	43    	nan	12.1 	28 	48 	2  	43    	7.39797
29 	42    	inf	29 	inf	269.543	42    	nan	14.08	29 	100	2  	42    	14.8349
30 	44    	inf	30 	inf	269.543	44    	nan	13.86	30 	85 	2  	44    	12.687 
31 	37    	inf	31 	inf	269.543	37    	nan	12.74	31 	50 	2  	37    	9.40385
