   	      	                    fitness                    	                      size                     
   	      	-----------------------------------------------	-----------------------------------------------
gen	nevals	avg    	gen	max    	min    	nevals	std    	avg 	gen	max	min	nevals	std    
0  	20    	214.925	0  	362.524	104.159	20    	91.0131	9.8 	0  	36 	2  	20    	9.82141
0  	12    	142.385	0  	362.524	104.159	12    	55.828 	6.95	0  	23 	2  	12    	5.15243
1  	18    	1.69264e+109	1  	3.38528e+110	93.3659	18    	7.37804e+109	4   	1  	13 	3  	18    	2.38747
2  	15    	115.016     	2  	362.524     	93.3659	15    	59.3747     	4.3 	2  	14 	3  	15    	2.75862
3  	19    	96.7304     	3  	127.061     	93.3659	19    	10.0936     	3.15	3  	5  	3  	19    	0.47697
4  	14    	95.2435     	4  	134.419     	89.8663	14    	9.01958     	3.45	4  	10 	3  	14    	1.56445
5  	14    	120.279     	5  	191.633     	89.8663	14    	29.9662     	10.5	5  	16 	6  	14    	2.41868
6  	16    	120.491     	6  	194.961     	88.6437	16    	34.8406     	10.25	6  	18 	2  	16    	2.79061
7  	17    	121.044     	7  	191.833     	88.6437	17    	31.7162     	11.3 	7  	14 	8  	17    	1.55242
8  	15    	119.389     	8  	266.358     	88.6437	15    	43.04       	11.6 	8  	18 	9  	15    	1.95959
9  	9     	96.4917     	9  	161.053     	88.6437	9     	19.3754     	11.5 	9  	23 	10 	9     	2.67395
10 	11    	113.173     	10 	151.233     	88.6437	11    	23.2705     	10.8 	10 	13 	8  	11    	1.249  
11 	13    	112.194     	11 	151.271     	88.6437	13    	21.5388     	11.55	11 	17 	7  	13    	2.61677
12 	15    	105.744     	12 	133.298     	88.3875	15    	19.0687     	11   	12 	15 	7  	15    	1.61245
13 	16    	122.102     	13 	191.767     	88.3875	16    	25.8109     	15.25	13 	23 	9  	16    	3.68612
14 	14    	108.414     	14 	134.213     	88.3875	14    	20.3657     	15.1 	14 	23 	9  	14    	3.11288
15 	11    	112.427     	15 	151.26      	88.3875	11    	22.3948     	14.9 	15 	20 	10 	11    	2.32164
16 	17    	128.948     	16 	362.524     	88.3875	17    	56.8111     	15.45	16 	19 	11 	17    	2.47942
17 	13    	122.393     	17 	191.801     	88.3875	13    	35.3114     	15.85	17 	30 	11 	13    	3.79835
18 	14    	116.041     	18 	191.771     	88.3875	14    	28.7288     	15.45	18 	25 	10 	14    	3.07368
19 	15    	133.801     	19 	362.524     	70.4326	15    	59.6686     	15.55	19 	22 	8  	15    	3.85325
20 	15    	93.5625     	20 	152.492     	67.2099	15    	26.0031     	21.55	20 	49 	11 	15    	8.00297
21 	14    	68.3202     	21 	73.1495     	65.2344	14    	1.93737     	45.95	21 	76 	14 	14    	12.3267
22 	16    	91.847      	22 	362.524     	64.7267	16    	65.1737     	46.95	22 	87 	12 	16    	16.6867
23 	15    	67.4402     	23 	71.5992     	64.6525	15    	2.89951     	50.95	23 	60 	21 	15    	7.47981
24 	15    	67.0032     	24 	71.9182     	64.6525	15    	2.77577     	53.75	24 	71 	37 	15    	7.94276
25 	18    	87.2211     	25 	362.524     	63.9684	18    	65.3988     	54.25	25 	91 	21 	18    	12.7745
26 	16    	73.6714     	26 	128.669     	63.9684	16    	17.595      	57.45	26 	92 	20 	16    	14.9013
27 	11    	76.128      	27 	106.911     	63.9684	11    	17.6042     	54.85	27 	81 	31 	11    	13.6648
28 	14    	76.9338     	28 	123.153     	63.9684	14    	19.2063     	56.1 	28 	99 	14 	14    	13.7255
29 	10    	68.5183     	29 	106.005     	63.952 	10    	12.478      	55.7 	29 	87 	19 	10    	10.9823
30 	16    	77.0109     	30 	133.622     	63.9418	16    	20.1436     	51   	30 	86 	18 	16    	16.0997
