   	      	                    fitness                    	                      size                      
   	      	-----------------------------------------------	------------------------------------------------
gen	nevals	avg    	gen	max    	min    	nevals	std    	avg	gen	max	min	nevals	std     
0  	5     	173.862	0  	346.885	57.5078	5     	141.273	8.8	0  	15 	3  	5     	4.83322 
0  	2     	70.2257	0  	117.365	57.5078	2     	23.5858	3.8	0  	5  	3  	2     	0.979796
1  	2     	51.313 	1  	57.5078	35.9832	2     	8.49379	3  	1  	4  	2  	2     	0.632456
2  	4     	35.9832	2  	35.9832	35.9832	4     	0      	2  	2  	2  	2  	4     	0       
3  	4     	39.2199	3  	52.167 	35.9832	4     	6.47352	3.8	3  	11 	2  	4     	3.6     
4  	4     	51.7491	4  	100.38 	35.9832	4     	24.9498	3  	4  	6  	2  	4     	1.54919 
5  	4     	39.9179	5  	55.6568	35.9832	4     	7.86945	2.2	5  	3  	2  	4     	0.4     
5  	4     	39.9179	5  	55.6568	35.9832	4     	7.86945	2.2	5  	3  	2  	4     	0.4     
5  	4     	105.599	5  	346.885	35.9832	4     	121.499	2.8	5  	6  	2  	4     	1.6     
6  	4     	86.4428	6  	265.025	35.9832	4     	89.7443	2.4	6  	4  	2  	4     	0.8     
7  	3     	43.8366	7  	50.4213	35.9832	3     	6.45787	5.4	7  	14 	2  	3     	4.71593 
8  	2     	35.9832	8  	35.9832	35.9832	2     	0      	2  	8  	2  	2  	2     	0       
9  	4     	36.9305	9  	40.7199	35.9832	4     	1.89469	2.2	9  	3  	2  	4     	0.4     
10 	4     	36.0122	10 	36.1284	35.9832	4     	0.0580916	3  	10 	7  	2  	4     	2       
