   	      	                    fitness                     	                      size                     
   	      	------------------------------------------------	-----------------------------------------------
gen	nevals	avg    	gen	max    	min	nevals	std     	avg 	gen	max	min	nevals	std    
0  	10    	136.549	0  	727.215	70 	10    	196.891 	14.2	0  	52 	2  	10    	15.3154
0  	8     	70.4   	0  	72.0001	70 	8     	0.800023	26  	0  	59 	3  	8     	19.9499
1  	5     	2.1383e+241	1  	2.1383e+242	70 	5     	inf     	42.1	1  	144	9  	5     	39.0473
2  	5     	70         	2  	70         	70 	5     	0       	63.9	2  	166	9  	5     	51.6477
3  	7     	70.2113    	3  	72.1127    	70 	7     	0.633812	56.2	3  	166	9  	7     	41.0385
4  	8     	71.2722    	4  	72.27      	70 	8     	1.04211 	35.8	4  	64 	2  	8     	21.2123
5  	6     	70.6       	5  	72.0001    	70 	6     	0.916542	29.9	5  	73 	3  	6     	25.304 
6  	8     	70.6656    	6  	72.27      	70 	8     	1.01745 	42.2	6  	86 	9  	8     	24.1197
7  	6     	70.4161    	7  	72.1147    	70 	6     	0.832374	35.8	7  	49 	9  	6     	12.4161
8  	7     	71.0539    	8  	72.27      	70 	7     	1.05635 	36.3	8  	100	9  	7     	27.5356
9  	8     	70.0756    	9  	70.7555    	70 	8     	0.226652	39.7	9  	82 	9  	8     	23.3369
