First Time: 1692651168.5606093; Last Time: 1692651242.2120588; Total Time(s): 73.65144944190979;
First Time: 1692651700.1480875; Last Time: 1692651773.5745182; Total Time(s): 73.42643070220947;
First Time: 1692651822.433738; Last Time: 1692651896.092181; Total Time(s): 73.65844297409058;
First Time: 1692651896.1151853; Last Time: 1692651969.3715386; Total Time(s): 73.2563533782959;
First Time: 1692663377.6616466; Last Time: 1692663451.7921042; Total Time(s): 74.13045763969421;
First Time: 1692663451.8221092; Last Time: 1692663526.427697; Total Time(s): 74.60558772087097;
First Time: 1692663526.4346995; Last Time: 1692663600.6771939; Total Time(s): 74.2424943447113;
First Time: 1692663600.689198; Last Time: 1692663674.1424787; Total Time(s): 73.45328068733215;
First Time: 1692663674.1524816; Last Time: 1692663747.7358346; Total Time(s): 73.58335304260254;
First Time: 1692663747.7418354; Last Time: 1692663822.2104082; Total Time(s): 74.46857285499573;
First Time: 1692663822.2184079; Last Time: 1692663896.4818828; Total Time(s): 74.26347494125366;
First Time: 1692663896.4928868; Last Time: 1692663970.7253318; Total Time(s): 74.23244500160217;
First Time: 1692663970.7343338; Last Time: 1692664044.9518263; Total Time(s): 74.21749258041382;
First Time: 1692664044.963828; Last Time: 1692664118.981261; Total Time(s): 74.01743292808533;
First Time: 1692664119.9645092; Last Time: 1692664193.7449133; Total Time(s): 73.78040409088135;
First Time: 1692664193.7539165; Last Time: 1692664268.0724056; Total Time(s): 74.31848907470703;
First Time: 1692664268.0814095; Last Time: 1692664341.8217516; Total Time(s): 73.74034214019775;
First Time: 1692664341.8307555; Last Time: 1692664415.9172382; Total Time(s): 74.0864827632904;
First Time: 1692664415.927242; Last Time: 1692664489.8266137; Total Time(s): 73.89937162399292;
First Time: 1692664489.838628; Last Time: 1692664565.4068632; Total Time(s): 75.56823515892029;
First Time: 1692664565.4148662; Last Time: 1692664639.690361; Total Time(s): 74.27549481391907;
First Time: 1692664639.8924134; Last Time: 1692664714.2679076; Total Time(s): 74.37549424171448;
First Time: 1692664714.2779121; Last Time: 1692664788.2813947; Total Time(s): 74.00348258018494;
First Time: 1692664788.2883997; Last Time: 1692664861.9398959; Total Time(s): 73.6514961719513;
First Time: 1692664861.9478989; Last Time: 1692664936.377537; Total Time(s): 74.42963814735413;
First Time: 1692664936.3845367; Last Time: 1692665010.2610748; Total Time(s): 73.87653803825378;
First Time: 1692665010.2680774; Last Time: 1692665084.2796366; Total Time(s): 74.01155924797058;
First Time: 1692665084.2876396; Last Time: 1692665158.3252451; Total Time(s): 74.03760552406311;
First Time: 1692665158.3322487; Last Time: 1692665232.0327146; Total Time(s): 73.70046591758728;
First Time: 1692665232.0397167; Last Time: 1692665306.122335; Total Time(s): 74.08261823654175;
First Time: 1692665306.6754687; Last Time: 1692665380.794069; Total Time(s): 74.11860036849976;
First Time: 1692665380.803074; Last Time: 1692665454.2615032; Total Time(s): 73.45842933654785;
First Time: 1692665454.2675076; Last Time: 1692665528.7282007; Total Time(s): 74.46069312095642;
First Time: 1692665528.7362027; Last Time: 1692665602.801803; Total Time(s): 74.06560039520264;
First Time: 1692665602.8128066; Last Time: 1692665678.221739; Total Time(s): 75.40893244743347;
First Time: 1692665678.3837812; Last Time: 1692665752.4753916; Total Time(s): 74.09161043167114;
First Time: 1692665753.376623; Last Time: 1692665827.5411723; Total Time(s): 74.16454935073853;
First Time: 1692665827.549172; Last Time: 1692665901.3316498; Total Time(s): 73.78247785568237;
First Time: 1692665901.3406558; Last Time: 1692665974.7400305; Total Time(s): 73.39937472343445;
First Time: 1692665974.7500339; Last Time: 1692666048.9265969; Total Time(s): 74.17656302452087;
First Time: 1692666048.9416003; Last Time: 1692666101.7438455; Total Time(s): 52.802245140075684;
First Time: 1692666101.75885; Last Time: 1692666159.9043694; Total Time(s): 58.1455192565918;
First Time: 1692666159.914371; Last Time: 1692666234.2309287; Total Time(s): 74.31655764579773;
First Time: 1692666234.4899943; Last Time: 1692666292.3704383; Total Time(s): 57.880444049835205;
First Time: 1692666292.3784387; Last Time: 1692666353.3086655; Total Time(s): 60.93022680282593;
First Time: 1692666353.3206675; Last Time: 1692666406.4249127; Total Time(s): 53.10424518585205;
First Time: 1692666406.4349153; Last Time: 1692666458.51893; Total Time(s): 52.084014654159546;
First Time: 1692666458.5289319; Last Time: 1692666524.4293625; Total Time(s): 65.90043067932129;
First Time: 1692666524.4373667; Last Time: 1692666573.3976781; Total Time(s): 48.96031141281128;
First Time: 1692666573.4046803; Last Time: 1692666620.1064112; Total Time(s): 46.70173096656799;
First Time: 1692666620.1114125; Last Time: 1692666661.4778066; Total Time(s): 41.36639404296875;
First Time: 1692666661.6228423; Last Time: 1692666704.9427292; Total Time(s): 43.319886922836304;
First Time: 1692666704.9487286; Last Time: 1692666752.8877742; Total Time(s): 47.939045667648315;
First Time: 1692666752.8947773; Last Time: 1692666825.8781278; Total Time(s): 72.9833505153656;
First Time: 1692666825.8851292; Last Time: 1692666867.9137292; Total Time(s): 42.028599977493286;
First Time: 1692666867.9217002; Last Time: 1692666911.76071; Total Time(s): 43.8390097618103;
First Time: 1692666911.7687135; Last Time: 1692666984.8165069; Total Time(s): 73.0477933883667;
First Time: 1692666984.822509; Last Time: 1692667057.4277623; Total Time(s): 72.60525321960449;
First Time: 1692667057.6108131; Last Time: 1692667099.87041; Total Time(s): 42.259596824645996;
First Time: 1692667099.8764117; Last Time: 1692667172.6917083; Total Time(s): 72.81529664993286;
First Time: 1692667172.697711; Last Time: 1692667219.8705616; Total Time(s): 47.172850608825684;
First Time: 1692667219.8765655; Last Time: 1692667276.4747593; Total Time(s): 56.598193883895874;
First Time: 1692667276.482762; Last Time: 1692667351.7846422; Total Time(s): 75.30188012123108;
First Time: 1692667351.7956297; Last Time: 1692667410.301294; Total Time(s): 58.505664348602295;
First Time: 1692667410.4383287; Last Time: 1692667457.6601326; Total Time(s): 47.22180390357971;
First Time: 1692667457.6671343; Last Time: 1692667500.7489512; Total Time(s): 43.08181691169739;
First Time: 1692667500.7559524; Last Time: 1692667545.4621835; Total Time(s): 44.706231117248535;
First Time: 1692667545.4681852; Last Time: 1692667596.1030529; Total Time(s): 50.634867668151855;
First Time: 1692667596.109057; Last Time: 1692667642.0355906; Total Time(s): 45.926533699035645;
First Time: 1692667642.1646228; Last Time: 1692667685.1313982; Total Time(s): 42.96677541732788;
First Time: 1692667685.1394017; Last Time: 1692667731.5070424; Total Time(s): 46.36764073371887;
First Time: 1692667731.5290494; Last Time: 1692667776.212266; Total Time(s): 44.68321657180786;
First Time: 1692667776.2212682; Last Time: 1692667823.7882106; Total Time(s): 47.5669424533844;
First Time: 1692667823.7942154; Last Time: 1692667866.4619234; Total Time(s): 42.66770792007446;
First Time: 1692667866.5999565; Last Time: 1692667904.89255; Total Time(s): 38.292593479156494;
First Time: 1692667904.8985515; Last Time: 1692667953.071635; Total Time(s): 48.173083543777466;
First Time: 1692667953.1756625; Last Time: 1692667997.7428408; Total Time(s): 44.56717824935913;
First Time: 1692667997.7488418; Last Time: 1692668040.5025644; Total Time(s): 42.75372266769409;
First Time: 1692668040.509566; Last Time: 1692668113.4379122; Total Time(s): 72.92834615707397;
First Time: 1692668113.4449122; Last Time: 1692668162.9593482; Total Time(s): 49.51443600654602;
First Time: 1692668162.9663475; Last Time: 1692668236.202433; Total Time(s): 73.23608565330505;
First Time: 1692668236.2144415; Last Time: 1692668282.9471545; Total Time(s): 46.73271298408508;
First Time: 1692668283.173214; Last Time: 1692668356.742712; Total Time(s): 73.56949806213379;
